"latitude","longitude","stn","name"
"66.483","20.167","21510","JOKKMOKK FPL"
"66.3","20.417","21520","SUDOK"
"65.883","20.15","21540","VIDSEL"
"57.3","14.133","21550","HAGSHULT (SWE-AFB)"
"66.75","20.933","21610","NATTAVAARA"
"56.083","13.233","21630","LJUNGBYHED(SWE-AFB)"
"56.267","15.283","21660","RONNEBY (SWE-AFB)"
"55.383","12.817","21670","FALSTERBO (LGT-H)"
"65.667","21.067","21730","ALVSBYN"
"66.283","21.133","21740","LAKATRASK"
"65.033","21.567","21760","PITE-RONNSKAR"
"66.267","22.85","21810","OVERKALIX SVARTBYN"
"65.55","22.133","21860","LULEA-KALLAX"
"65.7","23.1","21910","STORON"
"65.833","24.15","21960","HAPARANDA"
"66.617","23.467","21990","YLINENJARVI"
"63.3","12.117","22060","STORLIEN"
"64.5","14.167","22220","GADDEDE"
"63.2","14.5","22260","OSTERSUND FROSON"
"64.217","15.55","22300","GUBBHOGEN"
"63.683","14.6","22310","FOLLINGE"
"64.45","15.6","22320","NORRAKER"
"63.867","15.583","22340","STROMSUND"
"63.767","15.333","22360","HALLHAXASEN"
"64.083","16.233","22420","HOTING"
"63.683","16.95","22440","JUNSELE"
"64.583","16.85","22450","VILHELMINA"
"63.15","16.167","22470","KRANGEDE"
"64.45","17.083","22520","IDVATTNET"
"63.05","17.767","22590","KRAMFORS (SWE-AFB)"
"63.133","18.25","22600","VASTMARKUM"
"64.55","18.717","22610","LYCKSELE"
"64.083","18.417","22640","FREDRIKA"
"63.65","18.55","22650","HEMLING"
"63.4","18.967","22670","ORNSKOLDSVIK ARPT"
"63.183","19.017","22690","SKAGSUDDE"
"64.933","19.383","22710","NORSJO"
"64.217","19.717","22740","VINDELN"
"63.567","19.5","22760","NORDMALING"
"63.183","19.017","22780","SKAGSUDDE (LGT-H)"
"64.566","19.7","22820","PETISTRASK"
"63.433","19.683","22840","JARNASKLUBB"
"63.8","20.283","22860","UMEA"
"61.25","17.1","22861","SODERHAMN"
"63.817","20.867","22870","HOLMON"
"63.6","20.75","22880","HOLMOGADD"
"64.599","21.067","22930","SKELLEFTEA"
"64.483","21.583","22960","BJUROKLUBB (LGT-H)"
"64.483","21.583","22970","BJUROKLUBB"
"58.567","11.55","22980","SVARTEBORG"
"58.9","13.25","23050","NASHUVUD"
"61.133","12.817","23060","RORBACKSNAS"
"61.7","13.183","23160","SARNA"
"62.1","13.617","23170","DRAVAGEN"
"62.75","13.85","23190","BORTNAN"
"61.25","14.033","23210","ALVDALEN"
"62.017","14.367","23240","SVEG"
"61.667","15","23290","HAMRA"
"62.75","15.083","23310","HUNGE"
"56.833","13.917","23330","LJUNGBY"
"61.383","15.833","23360","EDSBYN"
"62.283","15.667","23370","NORRHOG"
"61.367","15.717","23380","EDSBYN"
"62.5","16.283","23430","TORPSHAMMAR"
"61.833","16.55","23470","DELSBO"
"61.7","17.533","23550","KUGGOREN"
"62.517","17.45","23660","TIMRA/MIDLANDA"
"62.217","17.75","23680","BRAMON"
"61.267","17.1","23760","SODERHAMN (SWE-AFB)"
"61.45","17.167","23780","SODERHAMN FLYGPLATS"
"62.65","18.1","23820","LUNGO"
"60.35","12.65","24000","OSTMARK"
"58.7","13.117","24030","NAVEN"
"59.667","12.583","24040","ARVIKA"
"59.283","12.05","24060","BLOMSKOG"
