"latitude","longitude","name","stn"
"45.083","124.867","QIAN GORLOS","509490"
"45.75","126.767","HARBIN","509530"
"45.967","128.733","TONGHE","509630"
"45.217","127.967","SHANGZHI","509680"
"45.283","130.949","JIXI","509780"
"45.767","132.967","HULIN","509830"
"48.05","86.35","KABA HE","510530"
"47.733","88.083","ALTAY","510760"
"46.983","89.517","FUYUN","510870"
"46.733","83","TACHENG","511330"
"46.783","85.717","HOBOKSAR","511560"
"45.95","82.567","PA-ERH-LU-K`O MTN","512320"
"45.6","84.85","KARAMAY","512430"
"45.367","90.533","BAYTIK SHAN","512880"
"44.617","82.9","JINGHE","513340"
"44.433","84.967","KUYTUN","513460"
"44.3","86.033","SHIHEZI","513560"
"44.017","89.567","QITAI","513790"
"43.95","81.333","YINING","514310"
"43.8","87.65","WU LU MU QI","514630"
"43.9","87.467","DIWOPU","514635"
"42.667","86.333","BALGUNTAY","514670"
"43.217","91.733","SHISANJIANFANG","514950"
"43.033","84.15","BAYANBULAK","515420"
"42.05","86.567","YANQI","515670"
"42.933","89.2","TURPAN","515730"
"41.267","80.233","WEN-SU","516280"
"41.717","82.95","KUQA","516440"
"41.75","86.133","KORLA","516560"
"39.467","75.983","KASHI","517090"
"40.933","78.45","AKQI","517110"
"39.8","78.567","BACHU","517160"
"40.5","81.05","ALAR","517300"
"39","83.667","TAZHONG","517470"
"40.633","87.7","TIKANLIK","517650"
"39.033","88.167","RUOQIANG","517770"
"-26.317","-70.617","DATSAV3 VIRT STATION (CHILE)","518040"
"38.433","77.267","SHACHE","518110"
"37.617","78.283","PISHAN","518180"
"37.133","79.933","HOTAN","518280"
"37.067","82.717","MINFENG","518390"
"37.933","83.65","ANDIR","518480"
"38.15","85.55","QIEMO/QARQAN","518550"
"38.25","90.85","MANGNAI","518860"
"-26.317","-70.617","DATSAV3 VIRT STATION (CHILE)","518950"
"36.867","81.7","YUTIAN/KERIYA","519310"
"43.6","95.133","NAOMAOHU","521120"
"43.267","94.7","YIWU","521180"
"42.817","93.517","HAMI","522030"
"41.95","101.067","EJIN QI","522670"
"41.783","95.133","XING-XING-XIA","523130"
"41.8","97.033","MAZONG SHAN","523230"
"41.367","102.367","GUAIZIHU","523780"
"41.75","103.967","PANG-TING-TO-TO-KAI","523910"
"40.15","94.683","DUNHUANG","524180"
"40.5","96","AN-XI","524240"
"40.267","97.033","YUMENZHEN","524360"
"40.717","98.617","BEI-SHAN","524410"
"40.4","99.8","SHUANGCHENGTZU","524460"
"40.75","104.5","BAYAN MOD","524950"
"39.767","98.483","JIUQUAN","525330"
"36.017","103.75","ZHONGCHUAN","525331"
"-26.317","-70.617","DATSAV3 VIRT STATION (CHILE)","525460"
"39.383","102.833","LAI-YEN-CH`IH","525760"
"38.833","93.383","LENGHU","526020"
"38.8","98.417","TUO-LE","526330"
"38.817","100.4","ZHANG-YE/SOUTH","526510"
"38.933","100.433","ZHANGYE","526520"
"38.8","101.083","SHAN-DAN","526610"
"38.467","102.183","JIN-CHANG","526740"
"-26.317","-70.617","DATSAV3 VIRT STATION (CHILE)","526790"
"38.633","103.083","MINQIN","526810"
"37.067","92.867","T`A-ERH-TING","527070"
"37.85","95.367","DA-QAIDAM","527130"
"37.367","97.367","DELINGHA","527370"
"37.333","100.133","GANGCA","527540"
"37.367","101.617","HAO-MEN","527650"
"37.2","102.867","WUSHAOLING","527870"
"36.417","94.9","GOLMUD","528180"
"36.45","96.467","NUO-MU-HONG","528250"
"36.3","98.1","DULAN","528360"
"36.783","99.083","CHA-KA","528420"
"36.35","100.783","GONGHE","528560"
"36.617","101.767","XINING","528660"
"35.217","93.083","WUDAOLIANG","529080"
"35.583","100.75","GUINAN","529550"
"35.267","100.65","TONGDE","529570"
"35.867","104.15","YU ZHONG","529830"
"35.383","105","HUAJIALING","529960"
"43.65","112","ERENHOT","530680"
"44.617","114.15","NARAN BULAG","530830"
"42.533","110.133","MANDAL","531490"
"44.017","114.95","ABAG QI","531920"
"41.45","106.383","HAILS","532310"
"42.4","112.9","JURH","532760"
"41.567","108.517","HALIUT","533360"
"41.7","110.433","BAILING-MIAO","533520"
"41.9","114","HUADE","533910"
"-26.317","-70.617","DATSAV3 VIRT STATION (CHILE)","534200"
"40.567","109.983","BAOTOU","534460"
"40.817","111.683","HOHHOT","534630"
"41.033","113.067","JINING","534800"
"40.1","113.333","DATONG","534870"
"39.783","105.75","JARTAI","535020"
"40.767","107.4","LINHE","535130"
"39.1","107.983","OTOG QI","535290"
"39.833","109.983","DONGSHENG","535430"
"-26.317","-70.617","DATSAV3 VIRT STATION (CHILE)","535460"
"39.383","111.15","HEQU","535640"
"38.95","113.517","WUTAI SHAN","535880"
"39.833","114.567","YU XIAN","535930"
"38.467","106.2","YINCHUAN","536140"
"38.233","109.7","YULIN","536460"
"38.75","112.7","YUANPING","536730"
"38.033","114.417","SHIJIAZHUANG","536980"
"37.483","105.683","ZHONGNING","537050"
"37.8","107.383","YANCHI","537230"
"37.15","108.383","PIN-KOU-MEN","537380"
"37.5","111.1","LISHI","537640"
"37.783","112.55","TAIYUAN","537720"
"37.067","112.983","YUSHE","537870"
"37.067","114.5","XINGTAI","537980"
"36.767","107.2","HUNG-TE","538210"
"36.6","109.5","YAN AN","538450"
"37.033","111.917","JIEXIU","538630"
"-26.317","-70.617","DATSAV3 VIRT STATION (CHILE)","538680"
"36.2","113.117","CHANG-ZHI","538870"
"36.05","114.4","ANYANG","538980"
"35.55","106.667","PINGLIANG","539150"
"35.733","107.633","XIFENGZHEN","539230"
"35.217","107.8","CHANG-WU","539290"
"35.167","109.05","TONGCHUAN","539470"
"35.05","111.05","YUNCHENG","539590"
