"latitude","longitude","name","stn"
"71.533","129.917","MOSTAKH ISLAND","218250"
"71.5","132.667","OZERO KHARGY (LAKE)","218260"
"71.5","136.583","UEDEY","218350"
"71.017","149","RUSSKOYE USTYE","218490"
"70.133","113.967","DZALINDA","219080"
"70.817","133.5","KHAYYR","219230"
"70.767","136.217","JUBILEJNAJA","219310"
"70.617","147.883","CHOKURDAH","219460"
"70.55","154.15","ALAZEJA RIVER","219550"
"70.633","162.483","OSTROV CHETYREHSTOL","219650"
"70.983","-178.483","OSTROV VRANGELJA","219820"
"69.2","35.117","TERIBERKA","220280"
"68.6","31.85","PADUN","221060"
"68.967","33.05","MURMANSK","221130"
"68","35.033","LOVOZERO","221270"
"68.367","38.65","CAPE CHERNIY","221450"
"68.65","43.3","KANIN NOS","221650"
"67.15","32.35","KANDALAKSA","222170"
"67.35","37.05","KRASNOSCELE","222350"
"67.15","43.9","MYS KONUSIN","222690"
"67.883","44.133","SOJNA","222710"
"67.8","46.667","MYS MIKULKIN","222820"
"67.683","48.683","INDIGA","222920"
"66.683","34.35","UMBA","223240"
"66.183","39.533","PJALICA","223490"
"66.383","43.25","ABRAMOVSKIJ MAJAK","223650"
"65.883","31.833","KESTENGA","224030"
"65.217","31.167","KALEVALA","224080"
"65.9","34.767","GRIDINO","224220"
"65.2","36.817","ZIZGIN","224380"
"65.867","44.217","MEZEN","224710"
"64.95","34.65","KEM","225220"
"64.55","40.583","ARHANGELSK","225500"
"64.7","43.383","PINEGA","225630"
"64.75","47.65","KOJNAS","225830"
"63.833","30.817","REBOLY","226020"
"63.767","34.283","SEGEZA","226210"
"63.9","38.117","ONEGA","226410"
"63.067","40.35","YEMTSA-IN-ARKHANGEL","226570"
"63.583","45.633","SURA","226760"
"63.45","48.9","KOSLAN","226950"
"62.917","34.433","MEDVEZEGORSK","227210"
"62.1","42.9","SENKURSK","227680"
"62.233","45.017","VERHNJAJA TOJMA","227780"
"62.167","49.117","JARENSK","227980"
"61.717","30.717","SORTAVALA","228020"
